Eje_X_Distancia Banda_1 Banda_2 Banda_3
5.74904427e+00 -4.21056574e-01 2.47176289e+00 3.75048806e+00
5.76310062e+00 -4.23343213e-01 2.47250150e+00 3.75257470e+00
5.77715696e+00 -4.25561291e-01 2.47316350e+00 3.75465739e+00
5.79121330e+00 -4.27711265e-01 2.47375297e+00 3.75673231e+00
5.80526965e+00 -4.29793599e-01 2.47427394e+00 3.75879571e+00
5.81932599e+00 -4.31808765e-01 2.47473044e+00 3.76084387e+00
5.83338233e+00 -4.33757239e-01 2.47512641e+00 3.76287312e+00
5.84743868e+00 -4.35639500e-01 2.47546578e+00 3.76487988e+00
5.86149502e+00 -4.37456031e-01 2.47575238e+00 3.76686061e+00
5.87555136e+00 -4.39207314e-01 2.47599000e+00 3.76881186e+00
5.88960770e+00 -4.40893831e-01 2.47618235e+00 3.77073023e+00
5.90366405e+00 -4.42516063e-01 2.47633306e+00 3.77261244e+00
5.91772039e+00 -4.44074485e-01 2.47644567e+00 3.77445527e+00
5.93177673e+00 -4.45569570e-01 2.47652364e+00 3.77625560e+00
5.94583308e+00 -4.47001783e-01 2.47657032e+00 3.77801040e+00
5.95988942e+00 -4.48371582e-01 2.47658898e+00 3.77971674e+00
5.97394576e+00 -4.49679417e-01 2.47658276e+00 3.78137180e+00
5.98800210e+00 -4.50925728e-01 2.47655471e+00 3.78297285e+00
6.00205845e+00 -4.52110943e-01 2.47650777e+00 3.78451727e+00
6.01611479e+00 -4.53235479e-01 2.47644474e+00 3.78600256e+00
6.03017113e+00 -4.54299741e-01 2.47636833e+00 3.78742632e+00
6.04422748e+00 -4.55304117e-01 2.47628111e+00 3.78878626e+00
6.05828382e+00 -4.56248982e-01 2.47618553e+00 3.79008023e+00
6.07234016e+00 -4.57134695e-01 2.47608391e+00 3.79130616e+00
6.08639651e+00 -4.57961595e-01 2.47597843e+00 3.79246212e+00
6.10045285e+00 -4.58730007e-01 2.47587117e+00 3.79354630e+00
6.11450919e+00 -4.59440235e-01 2.47576404e+00 3.79455701e+00
6.12856553e+00 -4.60092565e-01 2.47565884e+00 3.79549268e+00
6.14262188e+00 -4.60687261e-01 2.47555721e+00 3.79635185e+00
6.15667822e+00 -4.61224567e-01 2.47546067e+00 3.79713321e+00
6.17073456e+00 -4.61704706e-01 2.47537058e+00 3.79783556e+00
6.18479091e+00 -4.62127879e-01 2.47528819e+00 3.79845781e+00
6.19884725e+00 -4.62494265e-01 2.47521458e+00 3.79899902e+00
6.21290359e+00 -4.62804018e-01 2.47515068e+00 3.79945836e+00
6.22695994e+00 -4.63057271e-01 2.47509731e+00 3.79983514e+00
6.24101628e+00 -4.63254132e-01 2.47505512e+00 3.80012879e+00
6.25507262e+00 -4.63394687e-01 2.47502462e+00 3.80033885e+00
6.26912896e+00 -4.63478995e-01 2.47500617e+00 3.80046502e+00
6.28318531e+00 -4.63507094e-01 2.47500000e+00 3.80050709e+00
6.28318531e+00 -4.63507094e-01 2.47500000e+00 3.80050709e+00
6.30753161e+00 -4.63524632e-01 2.47508691e+00 3.80050796e+00
