Eje_X_Distancia Banda_1 Banda_2 Banda_3
4.02011409e+00 -8.10542047e-02 1.62180461e+00 3.44228235e+00
4.04822678e+00 -7.61417511e-02 1.61454996e+00 3.44399327e+00
4.07633946e+00 -7.20846471e-02 1.60859436e+00 3.44538064e+00
4.10445215e+00 -6.89071016e-02 1.60395504e+00 3.44644912e+00
4.13256483e+00 -6.66271663e-02 1.60064223e+00 3.44720415e+00
4.16067752e+00 -6.52563755e-02 1.59865880e+00 3.44765195e+00
4.18879020e+00 -6.47995189e-02 1.59800000e+00 3.44779952e+00
4.18879020e+00 -6.47995189e-02 1.59800000e+00 3.44779952e+00
4.20284655e+00 -6.49134458e-02 1.59816374e+00 3.44776313e+00
4.21690289e+00 -6.52545619e-02 1.59865337e+00 3.44765469e+00
4.23095923e+00 -6.58215581e-02 1.59946614e+00 3.44747529e+00
4.24501558e+00 -6.66127159e-02 1.60059884e+00 3.44722609e+00
4.25907192e+00 -6.76259173e-02 1.60204779e+00 3.44690831e+00
4.27312826e+00 -6.88586569e-02 1.60380888e+00 3.44652320e+00
4.28718461e+00 -7.03080563e-02 1.60587757e+00 3.44607209e+00
4.30124095e+00 -7.19708798e-02 1.60824891e+00 3.44555633e+00
4.31529729e+00 -7.38435515e-02 1.61091753e+00 3.44497735e+00
4.32935363e+00 -7.59221739e-02 1.61387772e+00 3.44433663e+00
4.34340998e+00 -7.82025483e-02 1.61712337e+00 3.44363569e+00
4.35746632e+00 -8.06801945e-02 1.62064806e+00 3.44287612e+00
4.37152266e+00 -8.33503732e-02 1.62444505e+00 3.44205955e+00
4.38557901e+00 -8.62081069e-02 1.62850729e+00 3.44118768e+00
4.39963535e+00 -8.92482032e-02 1.63282748e+00 3.44026224e+00
4.41369169e+00 -9.24652760e-02 1.63739805e+00 3.43928505e+00
4.42774804e+00 -9.58537686e-02 1.64221120e+00 3.43825794e+00
4.44180438e+00 -9.94079750e-02 1.64725895e+00 3.43718284e+00
4.45586072e+00 -1.03122062e-01 1.65253312e+00 3.43606169e+00
4.46991706e+00 -1.06990090e-01 1.65802535e+00 3.43489653e+00
4.48397341e+00 -1.11006034e-01 1.66372718e+00 3.43368941e+00
4.49802975e+00 -1.15163801e-01 1.66962998e+00 3.43244245e+00
4.51208609e+00 -1.19457251e-01 1.67572505e+00 3.43115784e+00
4.52614244e+00 -1.23880216e-01 1.68200361e+00 3.42983779e+00
4.54019878e+00 -1.28426514e-01 1.68845678e+00 3.42848460e+00
4.55425512e+00 -1.33089965e-01 1.69507566e+00 3.42710058e+00
4.56831146e+00 -1.37864407e-01 1.70185132e+00 3.42568812e+00
4.58236781e+00 -1.42743712e-01 1.70877477e+00 3.42424964e+00
4.59642415e+00 -1.47721794e-01 1.71583707e+00 3.42278762e+00
4.61048049e+00 -1.52792625e-01 1.72302924e+00 3.42130460e+00
4.62453684e+00 -1.57950242e-01 1.73034235e+00 3.41980313e+00
